"sample_id"	"class"
"95"	"bl_CRC11"	"CRC"
"96"	"bl_CRC12"	"CRC"
"97"	"bl_CRC13"	"CRC"
"98"	"bl_CRC14"	"CRC"
"99"	"bl_CRC15"	"CRC"
"100"	"bl_CRC16"	"CRC"
"101"	"bl_CRC17"	"CRC"
"102"	"bl_CRC18"	"CRC"
"103"	"bl_CRC19"	"CRC"
"104"	"bl_CRC20"	"CRC"
"105"	"bl_CRC21"	"CRC"
"106"	"bl_CRC22"	"CRC"
"107"	"bl_CRC23"	"CRC"
"108"	"bl_CRC24"	"CRC"
"109"	"bl_CRC25"	"CRC"
"110"	"bl_CRC26"	"CRC"
"111"	"bl_CRC27"	"CRC"
"112"	"bl_CRC28"	"CRC"
"113"	"bl_CRC29"	"CRC"
"114"	"bl_CRC30"	"CRC"
"115"	"bl_CRC31"	"CRC"
"116"	"bl_CRC32"	"CRC"
"117"	"bl_CRC33"	"CRC"
"118"	"bl_CRC34"	"CRC"
"119"	"bl_CRC35"	"CRC"
"120"	"bl_CRC36"	"CRC"
"121"	"bl_CRC37"	"CRC"
"122"	"bl_CRC38"	"CRC"
"123"	"bl_CRC39"	"CRC"
"124"	"bl_CRC40"	"CRC"
"125"	"bl_CRC41"	"CRC"
"126"	"bl_CRC42"	"CRC"
"127"	"bl_CRC43"	"CRC"
"128"	"bl_CRC44"	"CRC"
"129"	"bl_CRC45"	"CRC"
"130"	"bl_AD1"	"adenoma"
"131"	"bl_AD2"	"adenoma"
"132"	"bl_AD3"	"adenoma"
"133"	"bl_AD4"	"adenoma"
"134"	"bl_AD5"	"adenoma"
"135"	"bl_AD6"	"adenoma"
"136"	"bl_AD7"	"adenoma"
"137"	"bl_AD8"	"adenoma"
"138"	"bl_AD9"	"adenoma"
"139"	"bl_AD10"	"adenoma"
"140"	"bl_AD11"	"adenoma"
"141"	"bl_AD12"	"adenoma"
"142"	"bl_AD13"	"adenoma"
"143"	"bl_AD14"	"adenoma"
"144"	"bl_AD15"	"adenoma"
"145"	"bl_AD16"	"adenoma"
"146"	"bl_AD17"	"adenoma"
"147"	"bl_AD18"	"adenoma"
"148"	"bl_AD19"	"adenoma"
"149"	"bl_AD20"	"adenoma"
"150"	"bl_AD21"	"adenoma"
"151"	"bl_AD22"	"adenoma"
"152"	"bl_AD23"	"adenoma"
"153"	"bl_AD24"	"adenoma"
"154"	"bl_AD25"	"adenoma"
"155"	"bl_AD26"	"adenoma"
"156"	"bl_AD27"	"adenoma"
"157"	"bl_AD28"	"adenoma"
"158"	"bl_AD29"	"adenoma"
"159"	"bl_AD30"	"adenoma"
"160"	"bl_AD31"	"adenoma"
